x,y,title,tokens,word
-0.09756982,0.009817976,"la nieve que me inflama, cuelgo mi **cara**millo de una rama de salce y oro","la nieve que me inflam-a, cuel-go mi **cara**-mill-o de una rama de sal-ce y oro",cara
-0.10711554,0.10674364,"estrellada deje de acompañarte, y la sagrada **cara** de Febo veas rutilante [UNK] que al","estrella-da deje de acompañar-te, y la sagrada **cara** de Fe-bo veas ru-til-ante [UNK] que al",cara
-0.10495607,0.00014605121,"lumbre clara, falta la luz de mi esperanza **cara**, y falta luego mi vital aliento. Llévame la","lu-mbre clara, falta la luz de mi esperanza **cara**, y falta luego mi vital aliento. Llévame la",cara
-0.09849591,-0.06393292,"índice remoto. Ausente yace de la selva **cara**, do el verde ornato conservar pudiera,","índice remoto. Aus-ente ya-ce de la selva **cara**, do el verde or-na-to conservar pudiera,",cara
-0.099840246,0.036295142,"patria universal del suelo [UNK] que no has visto la **cara** al desconsuelo, ni llorado jamás,","patria universal del suelo [UNK] que no has visto la **cara** al descon-su-elo, ni llora-do jamás,",cara
-0.099840246,0.036295142,"patria universal del suelo [UNK] que no has visto la **cara** al desconsuelo, ni llorado jamás,","patria universal del suelo [UNK] que no has visto la **cara** al descon-su-elo, ni llora-do jamás,",cara
-0.09526008,0.07986624,"y, bien considerada por de fuera, tiene la **cara** hermosa y muy lozana ). Mas uno","y, bien considerada por de fuera, tiene la **cara** hermosa y muy lo-zan-a ). Mas uno",cara
-0.10710985,0.033807453,"zana ). Mas uno, aficionado de su **cara**, la quiso descubrir su pesadumbre cual suele hacer","zan-a ). Mas uno, aficionado de su **cara**, la quiso descubrir su pesa-dumbre cual suele hacer",cara
-0.10089983,0.019761924,"calavera, y a gatas en la **cara** lo mocoso. ¿ Qué captas, not","cal-ave-ra, y a ga-tas en la **cara** lo mo-coso. ¿ Qué cap-tas, not",cara
-0.10691886,0.07167271,"os enfadado de tantas necedades, alza tu propia **cara**, calla y mira, y en vez de","os enfadado de tantas nec-edades, alza tu propia **cara**, cal-la y mira, y en vez de",cara
-0.10033233,0.054260254,". ) Pecosa en las costumbres y en la **cara**, podéis entre los jaspes ser hermosa,",". ) Pec-osa en las costumbres y en la **cara**, podéis entre los ja-s-pes ser hermosa,",cara
-0.104697414,0.060210366,"dil, no de candelas [UNK] la **cara**, en fin, lamprea en un har","di-l, no de can-dela-s [UNK] la **cara**, en fin, la-mp-rea en un har",cara
-0.08781575,0.031512827,dos porras de espadañas [UNK] afeitáis la **cara**za de chinela con diaquilón y,dos por-ras de espada-ñas [UNK] afeit-áis la **cara**-za de chi-ne-la con dia-quil-ón y,cara
-0.109900914,0.07059407,"monte, a profesar el mostro, tu **cara** reducida a salvajina [UNK] toda malezas es","monte, a profes-ar el mostr-o, tu **cara** reducida a salva-jin-a [UNK] toda male-zas es",cara
-0.108787775,0.042090863,"sino en todo un capón, a quien la **cara** tuerce, por no lo ver, Naturaleza","sino en todo un cap-ón, a quien la **cara** tu-er-ce, por no lo ver, Naturaleza",cara
-0.1041261,0.031984165,el cielo y al sol desaliñó cabello y **cara** ) [UNK] ver la generación dura y avara harta,el cielo y al sol desal-i-ñó cabello y **cara** ) [UNK] ver la generación dura y av-ara harta,cara
-0.10488573,-0.0051761977,"testuz harnero, y deshecha la **cara** a manotadas. Trompetilla que toca","test-uz har-ner-o, y desh-echa la **cara** a mano-tadas. Tro-mp-et-illa que toca",cara
-0.10291025,-0.0037624298,"noble y cristiano, insolente, presumes hacer **cara** ? ¡ Y quieres ( ¿ puede ser cosa tan","noble y cristiano, insol-ente, presu-mes hacer **cara** ? ¡ Y quieres ( ¿ puede ser cosa tan",cara
-0.10618892,0.062062576,"ocioso y usurpado. Si no duerme su **cara** con Filena, ni con sus dientes come,","ocio-so y usur-pado. Si no duerme su **cara** con Fil-ena, ni con sus dientes come,",cara
-0.10643311,0.04435565,", atenta, guardas el que en tu **cara** juntas a montones ? ¿ Saltan huyendo quieres",", aten-ta, guarda-s el que en tu **cara** juntas a monto-nes ? ¿ Salta-n huyendo quieres",cara
-0.10317599,0.07474047,"el reinar se escupido, y en tu **cara** lo muestran los escribas, ¿ qué rey se","el reina-r se escup-ido, y en tu **cara** lo muestran los escriba-s, ¿ qué rey se",cara
-0.08430392,-0.294481,"cincuenta letrados barbihechos. Yo presento testigos **cara** a cara [UNK] mas si pudiera presentar cohechos,","cincuenta letra-dos barb-ih-echos. Yo presento testigos **cara** a cara [UNK] mas si pudiera presentar cohe-chos,",cara
-0.09371785,-0.23912385,"dos barbihechos. Yo presento testigos cara a **cara** [UNK] mas si pudiera presentar cohechos, el siga","dos barb-ih-echos. Yo presento testigos cara a **cara** [UNK] mas si pudiera presentar cohe-chos, el siga",cara
-0.09636875,-0.04611505,"ísimo infinito, frisón archinariz, **cara**tulera, sabañón garrafal,","ísimo infinito, fri-só-n archi-nar-iz, **cara**-tul-era, sab-a-ñón gar-ra-fal,",cara
-0.10884499,0.08817359,"la hermosura en un ojo no más de vuestra **cara**, grande ejemplar y de belleza rara tuvo en el","la hermos-ura en un ojo no más de vuestra **cara**, grande ejemplar y de belleza rara tuvo en el",cara
-0.08864968,-0.27282494,"menos, porque no venciera un ejército solo **cara** a cara, de esas cenizas, fénix","menos, porque no ven-cie-ra un ejército solo **cara** a cara, de esas cenizas, fé-ni-x",cara
-0.09177065,-0.24912894,"porque no venciera un ejército solo cara a **cara**, de esas cenizas, fénix nueva espera","porque no ven-cie-ra un ejército solo cara a **cara**, de esas cenizas, fé-ni-x nueva espera",cara
-0.10829246,0.05627936,"Cintia, la efigie verdadera de mi **cara**, colores y matices. Demás de esto","Cin-tia, la ef-ig-ie verdadera de mi **cara**, colores y ma-tices. Dem-ás de esto",cara
-0.10311781,0.023146996,"cuitado, porque el diablo te ha dado buena **cara** ? ¿ Qué no me quieres ? Consecuencia","cui-tado, porque el diablo te ha dado buena **cara** ? ¿ Qué no me quieres ? Conse-cu-encia",cara
-0.096663855,-0.06762816,"a en el mundo hoy su memoria, si menos **cara** hubiera la victoria de los monstruos que aún hoy causan","a en el mundo hoy su memoria, si menos **cara** hubiera la victoria de los monstruos que aún hoy causan",cara
-0.08670007,-0.034788243,sin que os sacara el mal todo a la **cara** el ciego que por vos mi vida adiestra.,sin que os sacar-a el mal todo a la **cara** el ciego que por vos mi vida adi-estra.,cara
-0.094037965,-0.014231984,"en otro clima, en otra tierra de la mi **cara** patria diferente. Allá Febo no tiene hora repar","en otro clima, en otra tierra de la mi **cara** patria diferente. Allá Fe-bo no tiene hora repar",cara
-0.09639694,-0.056914654,"desengaño, sola la duda ya le cuesta **cara**. No me engañaréis más, vana esperanza","desen-ga-ño, sola la duda ya le cuesta **cara**. No me engañar-éis más, van-a esperanza",cara
-0.09235241,-0.08905661,"única y rara, ejemplo de valor por quien tan **cara** la vida me es, de que antes era esqui","única y rara, ejemplo de valor por quien tan **cara** la vida me es, de que antes era esqui",cara
-0.09167208,-0.073691934,", calientes choques, y dejando al Francés las **cara**binas, volverán las ballestas de bodoques",", calientes choque-s, y dejando al Francés las **cara**-binas, volverán las ball-estas de bo-do-ques",cara
-0.10542852,0.08135584,"la fortuna avara. La blanca Luna con alegre **cara** viste de ajena luz el mudo sueño, y el","la fortuna av-ara. La blanca Luna con alegre **cara** viste de ajena luz el mudo sueño, y el",cara
-0.102241784,0.030745415,"más se loa. Y al moreno de **cara**, y de instrumento, si rabiare, de","más se lo-a. Y al mor-eno de **cara**, y de instrumento, si rabia-re, de",cara
-0.10158421,-0.01024489,"respondió con brío [UNK] Pues no tenéis para teatro **cara**, hagamos tabernáculo en el Pardo [UNK]","respondió con br-ío [UNK] Pues no tenéis para teatro **cara**, hagamos tab-ern-áculo en el Par-do [UNK]",cara
-0.10235184,0.047975227,"de hoy más vuestra heredera, vuestra sobrina, **cara** de contera, pechos de tordo, piernas","de hoy más vuestra hered-era, vuestra sobrina, **cara** de conte-ra, pechos de tor-do, piernas",cara
-0.10297333,0.10883321,la hierba de esmeralda. Tiñe la **cara** de color de gualda cuando oye cerca el,la hierba de es-meral-da. Ti-ñe la **cara** de color de gua-ld-a cuando oye cerca el,cara
-0.107030764,0.056912202,", yo veo a Sinón, magra la **cara**, desnudo e fambriento, e not",", yo veo a Sin-ón, mag-ra la **cara**, desnudo e fa-mb-rie-nto, e not",cara
-0.08906766,-0.29385298,"verle sin disgusto [UNK] que no gozar del gusto **cara** a cara, es infamia de amor,","verle sin disgust-o [UNK] que no gozar del gusto **cara** a cara, es inf-ami-a de amor,",cara
-0.093440704,-0.25970706,"disgusto [UNK] que no gozar del gusto cara a **cara**, es infamia de amor, traición del","disgust-o [UNK] que no gozar del gusto cara a **cara**, es inf-ami-a de amor, traición del",cara
-0.1067287,0.050667256,"banderas honrarán el túmulo. Hermosa **cara**, no os vendáis barat, ni","banderas honrar-án el tú-mul-o. Hermos-a **cara**, no os ven-d-áis bara-t, ni",cara
-0.10728888,0.06588877,"tienes diferente, antes quisiera ver, Conde, tu **cara**. Mas ya tendrás detrás la de la frente [UNK]","tienes diferente, antes quisiera ver, Conde, tu **cara**. Mas ya tendrás detrás la de la frente [UNK]",cara
-0.0869051,-0.24953583,"o corazón, Faetonte pecho, que **cara** a cara al sol miró la suya, hoy nuestro","o corazón, Fa-eto-n-te pecho, que **cara** a cara al sol miró la suya, hoy nuestro",cara
-0.08912495,-0.24255815,", Faetonte pecho, que cara a **cara** al sol miró la suya, hoy nuestro laberinto se",", Fa-eto-n-te pecho, que cara a **cara** al sol miró la suya, hoy nuestro laberinto se",cara
-0.080944456,-0.3161356,"í la vez primera, que quiso acometerme **cara** a cara [UNK] mas cuando vino con traición tan clara","í la vez primera, que quiso acom-eter-me **cara** a cara [UNK] mas cuando vino con traición tan clara",cara
-0.08848605,-0.26932132,"vez primera, que quiso acometerme cara a **cara** [UNK] mas cuando vino con traición tan clara, ¿","vez primera, que quiso acom-eter-me cara a **cara** [UNK] mas cuando vino con traición tan clara, ¿",cara
-0.10808336,0.029144673,"lo mejor formar desea, copiando de su **cara** milagrosa no saca imagen ni pintura fea. Divi","lo mejor formar desea, copia-n-do de su **cara** milagros-a no saca imagen ni pintura fea. Divi",cara
-0.10646787,0.02588986,"[UNK] talle más ajustado que lombriz, **cara** más afamada que Jerez. Quir","[UNK] tal-le más ajustado que lo-mb-riz, **cara** más af-ama-da que J-erez. Qui-r",cara
-0.10991178,0.050409466,"ura, aunque al sentir antojos de tu divina **cara** me despida. Cesen ya tus enojos","ura, aunque al sentir anto-jos de tu divina **cara** me despi-da. Ces-en ya tus eno-jos",cara
-0.09797001,-0.071876414,"cabe. Honra, pues ya perdí prenda tan **cara**, ya no soy noble, hidalgo soy","cabe. Hon-ra, pues ya perdí prenda tan **cara**, ya no soy noble, hi-dal-go soy",cara
