x,y,title,tokens,word
-0.06383419,-0.053820975,"este tesoro. Aquí no dais de conquistar el **arte**, virtud que en un hidalgo, honrado","este tesoro. Aquí no da-is de conquistar el **arte**, virtud que en un hi-dal-go, honrado",arte
-0.055044584,0.08548633,lo imperfecto lo perfecto daña como de superior **naturaleza** el de origen oscuro en la nobleza halla blanco a,lo imper-fecto lo perfecto dañ-a como de superior **naturaleza** el de origen oscuro en la nobleza halla blanco a,naturaleza
-0.060359288,0.0775446,"la mejor se inclina. En ti se mejoró **naturaleza**, si por obligación eres hermosa, por fuerza noble","la mejor se inclin-a. En ti se mejoró **naturaleza**, si por obligación eres hermosa, por fuerza noble",naturaleza
-0.061714146,-0.05911443,"macedonio Marte, do, reguladas fuerzas y **arte**, fue el escultor igual a su guerrero. Pues","ma-cedon-io Marte, do, reguladas fuerzas y **arte**, fue el escultor igual a su guerrero. Pues",arte
-0.057539415,-0.07928925,"en tosca mano, que, oscureciendo el **arte** de Lisipo, tu espíritu infundir al mármol","en tos-ca mano, que, oscure-ciendo el **arte** de Lis-ipo, tu espíritu inf-undir al mármol",arte
-0.061662704,-0.070143096,"atra, puede vencer astuto su malicia y **arte**. Trueca la acción [UNK] y del contrario huyendo","at-ra, puede vencer astuto su mali-cia y **arte**. Tru-eca la acción [UNK] y del contrario huyendo",arte
-0.05505005,0.03279094,"su prodigio, en tu esperanza [UNK] que ya **naturaleza** al dulce intento de compensar con frutos su tardan","su prodi-gio, en tu esperanza [UNK] que ya **naturaleza** al dulce intento de compensar con frutos su tarda-n",naturaleza
-0.063194826,-0.055751443,"beya. El pintor raro, a quien el **arte** sobra, aunque acabada la pintura deja, v","be-ya. El pintor raro, a quien el **arte** sobra, aunque acaba-da la pintura deja, v",arte
-0.06469004,-0.047908142,"mismo que debieran a tu diestra. El **arte** falta do el sujeto sobra, y el vuestro es","mismo que debiera-n a tu die-stra. El **arte** falta do el sujeto sobra, y el vuestro es",arte
-0.06260181,-0.01911001,"la risa, los dientes que en la boca el **arte** anuda. Y así nos muestra Erine la","la risa, los dientes que en la boca el **arte** an-uda. Y así nos muestra Eri-ne la",arte
-0.062258754,-0.035976537,a calentarnos la noticia [UNK] en las graves hay **arte** diligente. Que exhala en los crisol,a calentar-nos la noticia [UNK] en las graves hay **arte** dili-gente. Que exha-la en los cri-sol,arte
-0.06424469,-0.039003644,"Fili, en tu pecho no puede ser jurisdicción del **arte**. Porque hoy llegó a sus términos la ira del","Fili, en tu pecho no puede ser jurisdicción del **arte**. Porque hoy llegó a sus términos la ira del",arte
-0.06407997,-0.041941393,"encías. Pero tú acude por socorro al **arte**, que, aun con sus fraudes, quiero","enc-ías. Pero tú acu-de por socorro al **arte**, que, aun con sus fraude-s, quiero",arte
-0.05966114,0.071232155,culto de las artes ¿ qué recibo ? a la **naturaleza** ¿ qué le debo ? ¿ qué importan las promesas,culto de las artes ¿ qué recibo ? a la **naturaleza** ¿ qué le debo ? ¿ qué importan las promesas,naturaleza
-0.059670907,-0.046619732,"is, no más [UNK] que en perfección tan pura **arte** ha de ser el despreciar el arte. Si","is, no más [UNK] que en perfección tan pura **arte** ha de ser el despreci-ar el arte. Si",arte
-0.06231263,-0.06375762,"tan pura arte ha de ser el despreciar el **arte**. Si el alma sus afectos desordena,","tan pura arte ha de ser el despreci-ar el **arte**. Si el alma sus afecto-s desorden-a,",arte
-0.057878267,0.08950868,"o las leyes de amor jamás comprende, o la **naturaleza** misma infama. Afectuoso el olmo","o las leyes de amor jamás comprende, o la **naturaleza** misma inf-ama. Af-ec-tuoso el ol-mo",naturaleza
-0.056137893,0.036121815,"así como allá encima de su altura, cuando por **religión** sube la gente las cenizas de antiguos sacrificios, Fili","así como allá encima de su altura, cuando por **religión** sube la gente las cenizas de antiguos sacrificios, Fili",religión
-0.063597806,-0.06432757,"por ángulo recto o por obtuso, atento al **arte**, las distancias mides. Mas di. el","por ángulo recto o por obtu-so, atento al **arte**, las distancias mide-s. Mas di. el",arte
-0.06253776,-0.02886245,"desarmarte ? ya mis nuevas defensas quiso al **arte**, y a tu pérfido antojo las","desar-mart-e ? ya mis nuevas defensas quiso al **arte**, y a tu pér-fi-do anto-jo las",arte
-0.060582995,-0.052103788,"moscas. Viviráse con gusto y más sin **arte**, y cesará el hablar por cartapacio","moscas. Vivir-ás-e con gusto y más sin **arte**, y cesar-á el hablar por carta-pac-io",arte
-0.06302902,-0.032012373,"este rosal, que libre o rudo, del **arte** huyó al favor de la floresta su arrogancia","este rosa-l, que libre o rudo, del **arte** huyó al favor de la flores-ta su arro-gancia",arte
-0.057888657,0.065498605,"de la victoria, le humilló la cerviz **naturaleza**. Naces, oh infante, en honra","de la victoria, le humill-ó la cerv-iz **naturaleza**. Nac-es, oh infan-te, en honra",naturaleza
-0.06385654,-0.05946018,si en las leyes del ornato respondió al **arte** con tan gran suceso. A cabellos de mal,si en las leyes del or-na-to respondió al **arte** con tan gran suceso. A cabello-s de mal,arte
-0.06280578,-0.03882043,inspira Favonio cuando impele las sujetas al **arte** o libres flores. Y aunque para asaltar fa,inspira Fa-von-io cuando impe-le las sujetas al **arte** o libres flores. Y aunque para asal-tar fa,arte
